order_id,account_id,bank_to,account_to,amount,k_symbol
29485,A00000055,EF,53077900,3086,Household Payment
29486,A00000056,KL,73539948,8080,Household Payment
29487,A00000057,YZ,55066728,4107,Household Payment
29489,A00000059,IJ,38201576,695,Household Payment
29490,A00000059,ST,65394794,6190, 
29493,A00000061,EF,20533621,1645,Household Payment
29494,A00000061,IJ,20426410,668,Household Payment
29495,A00000062,EF,80010622,2273,Household Payment
29496,A00000063,CD,85474604,2237,Household Payment
29497,A00000063,EF,8346772,157,Household Payment
29498,A00000065,YZ,74934333,686,Household Payment
29499,A00000065,CD,20976132,3315, 
29500,A00000065,GH,7764506,3401,Insurance Payment
29501,A00000066,GH,17993182,4471.3,Leasing Payment
29502,A00000067,YZ,45128363,6915,Loan Payment
29503,A00000067,YZ,57342255,6393,Household Payment
29504,A00000067,UV,59079301,445, 
29505,A00000068,WX,86834001,1705,Household Payment
29506,A00000068,IJ,8292192,1186, 
29507,A00000068,ST,34692824,137,Insurance Payment
29508,A00000068,MN,92248808,61, 
29509,A00000070,KL,7699788,4150,Household Payment
29510,A00000071,YZ,53903484,968,Household Payment
29511,A00000071,IJ,11544728,1602, 
29512,A00000071,OP,9098768,1011,Insurance Payment
29513,A00000071,QR,34794885,778, 
29514,A00000072,OP,43079012,2923,Leasing Payment
29515,A00000072,EF,69338589,7109,Household Payment
29516,A00000072,ST,8297068,2286, 
29517,A00000073,CD,67077487,6061,Household Payment
29522,A00000075,IJ,74818038,3369,Household Payment
29523,A00000076,MN,98325132,5208,Household Payment
29524,A00000077,ST,28454154,1709,Leasing Payment
29525,A00000078,WX,32111394,9039,Household Payment
29526,A00000079,CD,15471804,2788,Household Payment
29527,A00000080,IJ,85687774,2252,Household Payment
29528,A00000081,QR,18026441,1765,Household Payment
29529,A00000081,MN,28429049,62, 
29530,A00000081,GH,62443947,229,Insurance Payment
29531,A00000083,AB,26468819,2210,Household Payment
29532,A00000083,EF,41590857,3940, 
29533,A00000084,ST,33353132,1709,Leasing Payment
29534,A00000084,ST,18454540,12452,Household Payment
29535,A00000085,IJ,65366345,3831,Household Payment
29536,A00000085,OP,81823444,1792,Leasing Payment
29537,A00000086,WX,36292475,1002,Household Payment
29538,A00000086,MN,48764252,1160, 
29541,A00000088,ST,72993069,2268,Household Payment
29542,A00000090,ST,68375611,2774,Household Payment
29543,A00000090,UV,90134667,2375, 
29544,A00000090,MN,89044069,4372,Insurance Payment
29545,A00000090,YZ,2028567,361, 
29554,A00000096,CD,62272125,4422.1,Leasing Payment
29555,A00000096,QR,83610647,908,Household Payment
29556,A00000096,WX,41707503,2140, 
29557,A00000096,EF,49409562,46,Insurance Payment
29558,A00000096,EF,66311460,644, 
29559,A00000097,ST,69820374,1436,Household Payment
29560,A00000097,CD,33796209,2411, 
29561,A00000097,ST,83123987,3,Insurance Payment
29562,A00000097,CD,94469666,15, 
29563,A00000097,MN,9693319,8573,Loan Payment
29564,A00000098,CD,94078754,1569,Household Payment
29565,A00000098,WX,95535426,749,Household Payment
29566,A00000099,CD,38411343,4503,Household Payment
29567,A00000099,EF,26847303,4682, 
29568,A00000100,UV,6381905,598,Household Payment
29569,A00000100,GH,16341108,7329, 
29570,A00000101,KL,10926431,8037,Household Payment
29571,A00000101,GH,26152324,855, 
29572,A00000102,EF,24946403,7370.2,Loan Payment
29573,A00000102,KL,63927906,3373,Household Payment
29574,A00000102,UV,97521966,377, 
29575,A00000103,MN,2646291,7370.2,Loan Payment
29576,A00000104,MN,82782172,578,Household Payment
29577,A00000104,ST,8965999,1464, 
29578,A00000105,UV,58251345,7348,Loan Payment
29579,A00000106,WX,46916538,3735,Household Payment
29580,A00000107,IJ,67744958,2015,Household Payment
29581,A00000107,IJ,9999049,1580, 
29582,A00000107,QR,80934089,959,Insurance Payment
29583,A00000108,CD,62673318,4803,Household Payment
29584,A00000110,OP,24390584,3050,Household Payment
29585,A00000110,YZ,18149984,98, 
29586,A00000110,ST,14772266,4516,Loan Payment
29589,A00000112,AB,41812431,2051,Household Payment
29590,A00000113,GH,11191487,3146,Household Payment
29591,A00000114,QR,78667527,1590,Household Payment
29592,A00000114,MN,90660798,533,Household Payment
29593,A00000115,EF,51975733,5110,Household Payment
29594,A00000116,KL,99229424,5529,Household Payment
29595,A00000116,ST,16828024,927,Leasing Payment
29596,A00000117,CD,59419953,2329,Household Payment
29597,A00000118,IJ,51605445,2449,Household Payment
29598,A00000119,ST,21662587,8252,Household Payment
29599,A00000120,YZ,74934506,1899,Leasing Payment
29600,A00000120,ST,36501592,3965,Household Payment
29601,A00000121,YZ,81156724,794,Household Payment
29602,A00000121,UV,93935125,929, 
29603,A00000121,MN,91729092,393,Insurance Payment
29604,A00000123,KL,97764080,3016,Household Payment
29605,A00000124,IJ,11366123,447,Household Payment
29606,A00000124,OP,51247948,575, 
29607,A00000124,OP,34663748,971,Insurance Payment
29608,A00000125,IJ,14166999,4422.1,Leasing Payment
29609,A00000126,WX,62923598,7384,Household Payment
29610,A00000127,YZ,11707830,2242,Household Payment
29611,A00000129,IJ,69084489,3417,Household Payment
29612,A00000130,IJ,2152455,3969,Household Payment
29613,A00000131,UV,29374742,6904,Household Payment
29614,A00000132,WX,80542558,7370.2,Loan Payment
29615,A00000133,OP,90329002,3094,Leasing Payment
29616,A00000133,EF,45379865,4943,Household Payment
29617,A00000133,CD,30067122,5123, 
29618,A00000136,MN,78733890,2932,Household Payment
29619,A00000137,GH,71138578,3464,Household Payment
29620,A00000137,UV,34738314,787, 
29621,A00000141,KL,30588215,3016.5,Leasing Payment
29622,A00000141,KL,65986662,3462,Household Payment
29623,A00000141,WX,71174192,1791, 
29624,A00000141,GH,86448645,6716,Insurance Payment
29625,A00000142,YZ,23734498,1845,Household Payment
29626,A00000143,YZ,81564402,2272,Household Payment
29627,A00000145,GH,81546359,4815,Household Payment
29628,A00000146,AB,76565843,3823,Household Payment
29631,A00000148,KL,29826498,487,Household Payment
29632,A00000148,GH,99004148,89, 
29633,A00000148,QR,85938459,1736,Insurance Payment
29634,A00000151,QR,2754378,411,Household Payment
29635,A00000151,KL,77260404,2668, 
29636,A00000152,OP,21928644,426,Household Payment
29637,A00000152,OP,16610890,2993, 
29638,A00000153,UV,6886673,4544,Household Payment
29639,A00000154,MN,1314569,3891,Household Payment
29640,A00000155,KL,13971645,2988,Household Payment
29641,A00000156,QR,93965810,2030,Household Payment
29642,A00000157,AB,14697784,3991,Household Payment
29643,A00000158,ST,61129736,3420,Household Payment
29644,A00000159,GH,1882386,8694,Household Payment
29645,A00000160,QR,52787989,2374,Household Payment
29646,A00000160,ST,8854127,5552, 
29647,A00000161,GH,17877823,1389,Household Payment
29648,A00000161,WX,62378322,892,Household Payment
29649,A00000162,GH,1325488,3458,Household Payment
29650,A00000163,UV,86180990,3116,Household Payment
29651,A00000163,IJ,8512616,612,Household Payment
29652,A00000165,OP,71082353,1788,Household Payment
29653,A00000166,QR,26919090,3044,Household Payment
29654,A00000168,WX,47454333,2013,Household Payment
29655,A00000169,IJ,71273207,4975,Household Payment
29656,A00000169,KL,15956706,696,Leasing Payment
29657,A00000171,UV,5356938,3486,Household Payment
29658,A00000172,OP,11598539,4221,Household Payment
29659,A00000173,KL,95605074,6256,Household Payment
29660,A00000173,KL,26238835,1428, 
29661,A00000173,CD,85405385,735,Insurance Payment
29662,A00000173,CD,50065535,189, 
29663,A00000173,UV,38819456,8734,Loan Payment
29664,A00000174,QR,73784321,2139,Household Payment
29667,A00000176,GH,53236597,2288.3,Loan Payment
29668,A00000176,AB,55640232,4564,Household Payment
29669,A00000176,OP,90734010,36, 
29670,A00000176,QR,11736327,97,Insurance Payment
29671,A00000178,OP,16301811,1482,Household Payment
29672,A00000178,ST,1946038,505, 
29673,A00000179,UV,16450244,7615,Household Payment
29674,A00000179,IJ,47684144,1066, 
29675,A00000179,AB,11941713,378,Insurance Payment
29676,A00000179,OP,39081686,4608, 
29677,A00000181,KL,66975450,6780,Household Payment
29678,A00000183,AB,5552345,5202,Household Payment
29679,A00000183,GH,85986530,752, 
29680,A00000184,IJ,65986150,1623,Leasing Payment
29681,A00000185,IJ,14592427,6526,Household Payment
29682,A00000186,GH,83964973,6862,Household Payment
29683,A00000187,UV,39898049,2798,Household Payment
29684,A00000188,AB,26629168,7426,Household Payment
29685,A00000189,GH,54808670,4244,Household Payment
29686,A00000189,OP,28932172,750, 
29687,A00000189,MN,76972424,360,Insurance Payment
29688,A00000190,YZ,24279922,4519,Household Payment
29689,A00000190,WX,3125066,3233, 
29690,A00000190,WX,5304331,42,Insurance Payment
29691,A00000190,YZ,50605297,1316, 
29692,A00000191,YZ,89219265,4420.9,Leasing Payment
29693,A00000192,IJ,70552640,3583,Household Payment
29694,A00000193,QR,21547550,7110,Household Payment
29695,A00000194,CD,39405787,2648,Household Payment
29696,A00000195,AB,37868559,6260,Household Payment
29697,A00000196,MN,84787642,1270,Household Payment
29698,A00000196,AB,90261184,4417, 
29699,A00000196,KL,30200135,2554,Insurance Payment
29700,A00000196,IJ,21173686,385, 
29701,A00000197,EF,67286312,9454,Household Payment
29702,A00000198,MN,67775189,700,Household Payment
29703,A00000198,QR,64557379,2166,Household Payment
29704,A00000199,CD,15875643,1984,Household Payment
29705,A00000201,OP,34061867,9584,Household Payment
29711,A00000204,UV,59721839,1950,Household Payment
29712,A00000205,AB,99149345,4297,Household Payment
29713,A00000206,KL,75771987,2902,Household Payment
29714,A00000207,KL,71656483,403,Household Payment
29715,A00000207,GH,4786676,10, 
29716,A00000207,AB,83722591,2726,Insurance Payment
29717,A00000208,AB,9118587,4148,Household Payment
29718,A00000208,CD,77937751,1767, 
29719,A00000208,UV,98481541,986,Insurance Payment
29720,A00000208,OP,28241002,545, 
29721,A00000209,QR,17469549,483,Household Payment
29722,A00000209,EF,52778792,41, 
29723,A00000209,KL,1601225,1796,Insurance Payment
29724,A00000210,IJ,24753552,7534,Household Payment
29725,A00000211,IJ,2884138,2394,Leasing Payment
29726,A00000212,EF,58462047,13841,Household Payment
29727,A00000213,EF,4553950,5625,Household Payment
29728,A00000214,EF,26426023,2097,Household Payment
29729,A00000215,MN,65896379,2121,Household Payment
29730,A00000216,KL,85333066,1486,Household Payment
29731,A00000216,GH,38205874,1513,Household Payment
29732,A00000217,CD,23454666,3459,Household Payment
29733,A00000217,YZ,55710929,653,Leasing Payment
29734,A00000218,IJ,10956299,3182,Leasing Payment
29735,A00000219,GH,77167427,2336,Household Payment
29736,A00000219,OP,33257001,2988, 
29737,A00000220,QR,26923066,3095,Household Payment
29738,A00000221,CD,98228793,7896,Household Payment
29739,A00000222,WX,52384513,3440.9,Leasing Payment
29740,A00000224,EF,63218277,3503,Household Payment
29741,A00000225,MN,74407583,3383,Household Payment
29742,A00000225,KL,93545496,2, 
29743,A00000226,UV,29971635,8928,Household Payment
29744,A00000226,GH,39824432,9112,Loan Payment
29745,A00000227,GH,28972292,9381,Household Payment
29746,A00000228,QR,78199761,1946,Household Payment
29747,A00000228,EF,26569271,2158, 
29748,A00000229,ST,55160808,2505,Household Payment
29749,A00000230,ST,66906124,5615,Household Payment
29750,A00000230,AB,95935326,1527, 
29751,A00000230,KL,3922403,1058,Insurance Payment
29752,A00000231,WX,51732343,2073,Household Payment
29753,A00000232,KL,62672704,3643,Household Payment
29755,A00000234,MN,20655334,2809,Household Payment
29756,A00000235,MN,79934978,895,Household Payment
29757,A00000235,KL,52539473,1321, 
29758,A00000237,AB,13233763,152,Household Payment
29759,A00000237,AB,58324587,1788, 
29760,A00000238,IJ,39059901,2234,Household Payment
29761,A00000239,CD,96977406,1042,Household Payment
29762,A00000239,MN,30218410,5995, 
29763,A00000239,IJ,47741246,152,Insurance Payment
29764,A00000240,WX,50178039,9621,Household Payment
29765,A00000240,OP,22710114,1050,Leasing Payment
29766,A00000241,QR,28285497,1344,Household Payment
29767,A00000241,MN,27381342,632, 
29768,A00000241,EF,14364838,610,Insurance Payment
29769,A00000242,WX,23104387,1062,Household Payment
29770,A00000242,WX,62032568,2977, 
29771,A00000243,KL,55282419,1041,Leasing Payment
29772,A00000243,GH,73269855,3067,Household Payment
29773,A00000244,MN,74832015,2190,Household Payment
29774,A00000244,OP,78948193,226, 
29775,A00000244,GH,7008588,232,Insurance Payment
29776,A00000246,YZ,8283996,1970,Household Payment
29780,A00000248,AB,15760773,2484.9,Leasing Payment
29781,A00000249,OP,26255619,5618,Household Payment
29782,A00000249,GH,99770348,1876, 
29783,A00000250,WX,24246722,3066,Household Payment
29784,A00000251,AB,92959981,3059,Household Payment
29785,A00000252,CD,91842740,1767,Household Payment
29788,A00000255,WX,88934081,5323,Household Payment
29789,A00000257,ST,61510014,3816.7,Leasing Payment
29790,A00000257,GH,22533124,14166,Household Payment
29791,A00000258,KL,37360865,3737,Household Payment
29792,A00000259,MN,86616670,297,Household Payment
29793,A00000259,EF,8156723,2857,Household Payment
29794,A00000260,GH,71713226,5247,Household Payment
29795,A00000261,IJ,49824553,2182,Household Payment
29796,A00000261,ST,63415229,371, 
29797,A00000263,WX,73582678,6145,Household Payment
29798,A00000264,YZ,19889706,3307,Household Payment
29799,A00000265,EF,28306174,2900,Household Payment
29800,A00000266,WX,96796440,4975.2,Leasing Payment
29801,A00000267,KL,4520118,3074,Household Payment
29802,A00000268,OP,4418570,3121,Household Payment
29803,A00000269,QR,7832789,456,Household Payment
29804,A00000269,YZ,55865961,1690, 
29805,A00000270,QR,95370232,5462,Household Payment
29806,A00000271,QR,67201065,1535,Household Payment
29807,A00000272,IJ,15116119,7454,Household Payment
29808,A00000273,ST,77701490,1320.1,Leasing Payment
29809,A00000273,OP,80156594,5965,Household Payment
29810,A00000273,EF,85742187,178, 
29811,A00000273,YZ,15870309,1836,Insurance Payment
29812,A00000274,ST,91567790,9886,Household Payment
29813,A00000275,CD,46536463,198,Household Payment
29814,A00000275,UV,60457825,2062, 
29815,A00000276,AB,22070646,4470.5,Loan Payment
29816,A00000276,EF,80801391,5212,Household Payment
29817,A00000277,ST,67316442,2682.3,Leasing Payment
29818,A00000278,IJ,93538832,3362,Household Payment
29819,A00000278,MN,5409831,676,Leasing Payment
29820,A00000279,EF,46485179,624,Household Payment
29821,A00000279,QR,68556356,1380, 
29822,A00000280,KL,10603589,3334,Household Payment
29823,A00000280,UV,1495051,4694, 
29824,A00000280,QR,42263525,957,Leasing Payment
29825,A00000281,CD,31156671,5578,Household Payment
29826,A00000282,GH,6997305,7531,Household Payment
29827,A00000282,AB,4248011,802, 
29828,A00000283,OP,9780645,2802,Household Payment
29829,A00000284,EF,34219330,5629,Household Payment
29830,A00000285,UV,52409064,667,Leasing Payment
29831,A00000286,ST,3664666,9848,Household Payment
29832,A00000287,CD,57389086,772,Household Payment
29833,A00000287,EF,36382317,1572,Household Payment
29834,A00000288,WX,29425543,3257,Household Payment
29835,A00000288,QR,97550320,207,Household Payment
29836,A00000289,AB,78823619,5745,Household Payment
29837,A00000289,OP,72798836,2621, 
29838,A00000290,YZ,60961633,2577,Loan Payment
29839,A00000290,UV,10382223,2653,Household Payment
29840,A00000290,IJ,5267882,3274, 
29841,A00000291,YZ,46721518,1941.9,Leasing Payment
29842,A00000291,EF,31507086,62,Household Payment
29843,A00000291,YZ,27026367,12925, 
29844,A00000292,KL,722319,1986,Household Payment
29845,A00000293,QR,11480212,1636,Household Payment
29846,A00000293,QR,85708903,845, 
29847,A00000293,EF,34143477,1366,Insurance Payment
29848,A00000294,MN,91239595,5842,Household Payment
29849,A00000294,KL,94949411,145, 
29850,A00000294,IJ,58432865,430,Insurance Payment
29851,A00000294,UV,58291846,156, 
29852,A00000295,AB,78368478,6992,Household Payment
29853,A00000296,AB,63953745,2646,Household Payment
29854,A00000300,YZ,46045607,1628,Household Payment
29855,A00000301,IJ,99728369,1950,Household Payment
29856,A00000302,ST,12600803,3236,Household Payment
29857,A00000303,KL,43664085,3803,Household Payment
29858,A00000303,UV,25709551,3132,Loan Payment
29859,A00000304,AB,27760046,14367,Household Payment
29860,A00000305,ST,77063089,2953,Household Payment
29861,A00000306,IJ,70354622,3657,Household Payment
29862,A00000308,CD,17178321,1284,Leasing Payment
29863,A00000309,UV,74396675,1901,Loan Payment
29865,A00000311,CD,93944477,4777,Household Payment
29866,A00000311,WX,80353498,371, 
29867,A00000311,GH,47159934,3375,Insurance Payment
29868,A00000311,YZ,37490087,355, 
29869,A00000311,YZ,67794364,422,Loan Payment
29870,A00000312,WX,31189668,7814,Household Payment
29871,A00000313,GH,6982702,2294,Household Payment
29872,A00000314,WX,56231456,2785,Loan Payment
29873,A00000314,KL,99187093,13691,Household Payment
29874,A00000315,MN,6354302,3509,Loan Payment
29875,A00000317,QR,93325268,3068,Household Payment
29876,A00000318,GH,74740838,2858,Household Payment
29877,A00000319,GH,41618597,6149.5,Loan Payment
29878,A00000319,KL,87909203,1057,Household Payment
29879,A00000319,KL,32717514,2196, 
29880,A00000319,AB,559258,416,Insurance Payment
29881,A00000321,UV,44067668,1876,Household Payment
29882,A00000322,ST,4537106,6550,Household Payment
29883,A00000323,GH,65761726,3025,Household Payment
29884,A00000324,OP,83596694,1785,Household Payment
29885,A00000324,KL,19554490,284,Household Payment
29886,A00000325,GH,69376104,2741,Household Payment
29887,A00000326,MN,44978225,1881,Household Payment
29888,A00000326,EF,63815659,1567,Household Payment
29889,A00000327,OP,86823993,3252,Household Payment
29890,A00000327,IJ,47999680,3805, 
29891,A00000328,OP,10446250,1287,Household Payment
29892,A00000328,GH,3014916,1145,Household Payment
29893,A00000329,GH,73389369,792,Household Payment
29894,A00000329,UV,23747241,3110, 
29895,A00000330,OP,23515820,6908,Loan Payment
29896,A00000331,UV,55443829,3528,Household Payment
29897,A00000332,MN,6061673,2385,Household Payment
29898,A00000333,QR,71807402,1634,Household Payment
29899,A00000333,QR,42206424,72, 
29900,A00000333,AB,13184309,292,Insurance Payment
29901,A00000334,IJ,5579948,2374,Household Payment
29902,A00000334,MN,37566691,1168, 
29903,A00000335,GH,80065911,2697,Household Payment
29904,A00000336,AB,40453487,4067,Household Payment
29905,A00000338,AB,37576079,2252,Household Payment
29906,A00000339,OP,60226070,7801.2,Loan Payment
29907,A00000339,WX,52391654,4087,Household Payment
29908,A00000339,IJ,21728092,48, 
29909,A00000340,CD,26790029,917,Household Payment
29910,A00000340,YZ,80708729,901,Household Payment
29911,A00000342,KL,44861531,2332,Household Payment
29912,A00000343,QR,15103727,2505,Household Payment
29913,A00000344,WX,47483712,4739,Household Payment
29914,A00000344,CD,77219027,1683,Loan Payment
29915,A00000345,QR,68522327,8819,Household Payment
29916,A00000346,KL,13685655,7875,Household Payment
29917,A00000347,CD,37914210,7801.2,Loan Payment
29918,A00000349,ST,83005469,4660,Household Payment
29919,A00000349,YZ,66345286,3568,Loan Payment
29920,A00000350,AB,77066629,3791,Household Payment
29921,A00000352,KL,56583434,1992,Household Payment
29922,A00000353,UV,38371622,2687,Household Payment
29923,A00000353,CD,53546470,879,Household Payment
29924,A00000354,UV,38533955,4771,Household Payment
29925,A00000355,WX,5620038,5012,Household Payment
29926,A00000355,GH,28271162,2927, 
29927,A00000356,GH,75963014,4188,Household Payment
29928,A00000357,EF,3304052,1788,Household Payment
29929,A00000357,IJ,44572526,280, 
29930,A00000358,UV,86354624,532,Household Payment
29931,A00000358,ST,65233623,1434, 
29932,A00000358,ST,94764554,27,Insurance Payment
29933,A00000358,ST,94047659,73, 
29934,A00000359,UV,86209541,3544,Household Payment
29935,A00000361,YZ,95369791,1941,Household Payment
29936,A00000361,ST,59163767,1388, 
29937,A00000362,ST,76221531,6001,Household Payment
29938,A00000362,ST,91743081,292, 
29939,A00000362,EF,62852764,68,Insurance Payment
29940,A00000364,ST,39232927,2221,Household Payment
29941,A00000365,YZ,84520810,1766,Leasing Payment
29942,A00000365,QR,34196335,11528,Household Payment
29943,A00000365,QR,93025660,1782, 
29944,A00000365,UV,12044257,5,Insurance Payment
29945,A00000365,UV,89672892,9, 
29946,A00000366,IJ,75874721,2442,Household Payment
29947,A00000366,YZ,11380994,1914, 
29948,A00000366,QR,29283583,836,Insurance Payment
29949,A00000366,ST,68747752,3188, 
29950,A00000367,KL,59022962,6384,Household Payment
29951,A00000368,ST,13122338,4381,Household Payment
29952,A00000368,EF,27974027,742, 
29953,A00000368,UV,35746020,269,Insurance Payment
29954,A00000368,YZ,33245110,217, 
29955,A00000368,UV,35739392,1071,Leasing Payment
29959,A00000370,MN,39040500,215,Household Payment
29960,A00000370,EF,39893967,1188, 
29961,A00000370,KL,57786190,672,Insurance Payment
29962,A00000372,ST,65089881,7785,Household Payment
29963,A00000372,MN,83496254,2148, 
29964,A00000373,OP,55648291,6452,Household Payment
29965,A00000375,KL,32626718,3824,Household Payment
29966,A00000376,IJ,32540393,7097,Household Payment
29967,A00000378,MN,28203147,3840.2,Loan Payment
29968,A00000378,KL,6934583,8537,Household Payment
29969,A00000378,AB,85313254,1184, 
29970,A00000378,ST,70710897,2,Insurance Payment
29971,A00000378,KL,23140502,4, 
29972,A00000379,CD,35418421,1561,Household Payment
29973,A00000379,CD,30392295,434, 
29974,A00000379,GH,42905002,177,Insurance Payment
29975,A00000379,IJ,80296814,312, 
29979,A00000382,IJ,24703598,2235,Household Payment
29980,A00000382,OP,26432061,27, 
29981,A00000382,MN,87132888,14,Insurance Payment
29982,A00000383,EF,90773456,2057,Household Payment
29983,A00000384,MN,48816210,2304.1,Leasing Payment
29984,A00000385,WX,28537345,2160,Household Payment
29985,A00000385,ST,91164779,31, 
29986,A00000385,GH,79315310,121,Insurance Payment
29987,A00000386,CD,39887976,4711,Household Payment
29988,A00000388,CD,48455613,6524,Household Payment
29989,A00000389,KL,8779210,884,Household Payment
29990,A00000389,WX,25948596,3280, 
29991,A00000390,YZ,24210876,4977,Household Payment
29992,A00000392,GH,99824958,1407,Household Payment
29993,A00000392,WX,27344715,5663, 
29994,A00000393,AB,10808188,302,Household Payment
29995,A00000393,AB,27135431,5920, 
30001,A00000395,YZ,55113202,3871,Household Payment
30002,A00000395,GH,73209607,4036, 
30003,A00000395,WX,8607322,828,Leasing Payment
30004,A00000396,UV,71221321,5245,Household Payment
30005,A00000396,GH,26179212,68, 
30006,A00000396,OP,57553499,308,Insurance Payment
30007,A00000396,YZ,33896279,261, 
30008,A00000398,IJ,60894626,1702,Household Payment
30009,A00000399,GH,54855972,3090.5,Leasing Payment
30010,A00000399,IJ,47246265,6009,Household Payment
30011,A00000400,WX,99955695,6948,Household Payment
30012,A00000401,AB,66742342,3600,Household Payment
30013,A00000401,EF,88922524,1769, 
30014,A00000402,YZ,77129357,2083,Household Payment
30015,A00000402,CD,98438930,2211, 
30016,A00000403,KL,15987736,2401,Household Payment
30017,A00000404,GH,68393963,1563,Household Payment
30018,A00000404,WX,36616319,3450, 
30019,A00000405,EF,24659914,1339,Leasing Payment
30020,A00000405,MN,56718403,9632,Household Payment
30021,A00000405,WX,11276412,1497, 
30022,A00000405,KL,1622963,3579,Insurance Payment
30023,A00000406,UV,36316532,1800,Household Payment
30024,A00000406,KL,28461408,264, 
30025,A00000407,WX,90311783,5411,Household Payment
30026,A00000407,EF,32662862,14, 
30027,A00000408,QR,62073033,5042,Household Payment
30028,A00000409,QR,11262268,6810,Household Payment
30029,A00000410,WX,85225909,3825,Household Payment
30030,A00000411,QR,15704101,8499,Household Payment
30031,A00000412,WX,35379701,8727,Household Payment
30032,A00000413,CD,49738037,2107,Household Payment
30033,A00000414,AB,96403741,7870,Household Payment
30034,A00000415,OP,64789080,8740,Household Payment
30035,A00000416,ST,30481368,982,Household Payment
30036,A00000416,CD,54040610,987,Household Payment
30037,A00000418,MN,92404669,9316,Household Payment
30038,A00000420,KL,49270671,7192,Household Payment
30039,A00000421,YZ,94967096,5571,Household Payment
30040,A00000423,UV,78170078,1942,Household Payment
30041,A00000424,WX,64132481,4591,Household Payment
30042,A00000425,ST,21181220,2390,Household Payment
30043,A00000425,OP,54766887,806, 
30044,A00000425,GH,30106497,64,Insurance Payment
30045,A00000426,MN,45444989,4201.2,Loan Payment
