Date received,Complaint ID,rand client,phonefinal,vru+line,call_id,priority,type,outcome,server,ser_start,ser_exit,ser_time
2017-02-15,CR2346999,C00001890,242-066-8207,AA0115,34602,2,PS,AGENT,TOVA,16:54:11,16:59:12,00:05:01
2017-02-14,CR2344160,C00010828,212-376-3611,AA0102,34603,0,PS,AGENT,YIFAT,11:36:54,11:38:06,00:01:12
2017-02-14,CR2343097,C00000515,918-314-3728,AA0102,34604,0,NE,AGENT,KAZAV,13:19:04,13:23:18,00:04:14
2017-02-13,CR2340997,C00003047,663-775-5494,AA0201,34607,2,PS,AGENT,ANAT,14:27:40,14:42:56,00:15:16
2017-02-13,CR2341553,C00002578,914-297-7141,AA0214,34608,0,NW,AGENT,TOVA,13:21:37,13:22:55,00:01:18
2017-02-10,CR2339177,C00002693,570-293-7736,AA0109,34610,0,PS,AGENT,NO_SERVER,09:16:26,09:19:33,00:03:07
2017-02-09,CR2336561,C00009846,361-447-3343,AA0203,34611,0,NW,AGENT,TOVA,15:43:18,15:47:13,00:03:55
2017-02-09,CR2336515,C00004735,799-709-6386,AA0201,34612,1,PS,AGENT,TOVA,13:30:05,13:35:43,00:05:38
2017-02-07,CR2332670,C00010070,617-987-0617,AA0214,34614,0,PS,AGENT,TOVA,13:05:10,13:07:11,00:02:01
2017-02-06,CR2330453,C00003907,197-430-7586,AA0213,34615,0,NE,AGENT,GILI,10:43:17,10:46:42,00:03:25
2017-02-06,CR2330518,C00001408,238-765-9083,AA0202,34616,0,PS,AGENT,KAZAV,13:44:38,13:59:06,00:14:28
2017-02-02,CR2324151,C00001013,894-336-4117,AA0214,34618,1,PS,AGENT,STEREN,14:33:01,14:45:25,00:12:24
2017-02-02,CR2321678,C00003791,356-349-1063,AA0209,34619,2,PS,AGENT,MORIAH,14:03:58,14:08:05,00:04:07
2017-02-02,CR2325187,C00001628,504-968-6745,AA0113,34620,0,NE,AGENT,ELI,14:11:18,14:29:46,00:18:28
2017-01-30,CR2317826,C00001248,940-007-9030,AA0213,34622,0,PS,AGENT,BASCH,11:55:01,12:05:28,00:10:27
2017-01-30,CR2317569,C00003475,924-456-1095,AA0107,34623,2,TT,AGENT,NO_SERVER,10:20:37,10:36:00,00:15:23
2017-01-30,CR2317933,C00002151,508-174-5751,AA0206,34624,2,PS,AGENT,ANAT,11:32:41,11:42:47,00:10:06
2017-01-27,CR2314643,C00001797,312-349-2628,AA0101,34626,0,PS,AGENT,DORIT,13:07:44,13:20:57,00:13:13
2017-01-27,CR2314736,C00002226,312-080-0390,AA0105,34628,0,PS,AGENT,SHARON,11:00:40,11:05:56,00:05:16
2017-01-27,CR2315474,C00003875,212-994-8696,AA0209,34629,2,PS,AGENT,YITZ,10:48:38,10:48:45,00:00:07
2017-01-25,CR2310722,C00003657,248-634-7803,AA0205,34630,2,PS,AGENT,MIKI,14:28:10,14:47:31,00:19:21
2017-01-25,CR2311288,C00011147,265-012-6222,AA0110,34631,2,PS,AGENT,MIKI,13:58:17,13:59:01,00:00:44
2017-01-25,CR2310354,C00000232,854-444-6236,AA0109,34632,2,PS,AGENT,SHARON,14:06:28,14:20:38,00:14:10
2017-01-24,CR2308539,C00002503,281-754-2076,AA0104,34633,2,PS,AGENT,MORIAH,11:57:51,12:16:03,00:18:12
2017-01-24,CR2305383,C00000146,917-678-2836,AA0103,34634,2,PS,AGENT,AVNI,11:24:26,11:30:51,00:06:25
2017-01-23,CR2305857,C00000110,634-013-0057,AA0102,34635,2,PS,AGENT,DARMON,10:17:50,10:25:12,00:07:22
2017-01-20,CR2301475,C00002268,910-018-0049,AA0214,34636,2,PS,AGENT,MIKI,12:14:56,12:17:58,00:03:02
2017-01-20,CR2301210,C00004258,547-226-1341,AA0206,34637,1,PS,AGENT,ANAT,15:05:55,15:25:31,00:19:36
2017-01-20,CR2301127,C00008489,585-787-6851,AA0203,34639,0,PS,AGENT,TOVA,16:29:32,16:43:15,00:13:43
2017-01-19,CR2298291,C00003258,711-170-3148,AA0103,34640,2,PS,AGENT,SHARON,12:38:21,12:39:12,00:00:51
2017-01-18,CR2294240,C00000917,857-625-6519,AA0206,34642,0,PS,AGENT,DARMON,15:16:07,15:36:24,00:20:17
2017-01-18,CR2292024,C00003067,508-728-2172,AA0204,34643,1,PS,AGENT,YITZ,13:20:50,13:26:26,00:05:36
2017-01-18,CR2293938,C00003467,212-985-4873,AA0215,34644,0,PS,AGENT,MORIAH,15:42:19,15:51:52,00:09:33
2017-01-13,CR2288912,C00003348,346-192-7574,AA0213,34646,0,NW,AGENT,YIFAT,09:56:22,10:12:22,00:16:00
2017-01-13,CR2289056,C00002981,944-944-0200,AA0103,34647,0,PS,AGENT,MORIAH,14:16:51,14:36:07,00:19:16
2017-01-11,CR2285660,C00002906,461-185-8491,AA0206,34648,0,PS,AGENT,AVIDAN,12:24:56,12:38:37,00:13:41
2017-01-10,CR2283299,C00000287,716-179-4777,AA0109,34649,0,NW,AGENT,TOVA,15:42:47,15:49:43,00:06:56
2017-01-10,CR2283645,C00001394,674-781-6659,AA0205,34650,0,NW,AGENT,YITZ,13:33:46,13:50:25,00:16:39
2017-01-10,CR2282295,C00002786,671-085-3435,AA0111,34651,0,TT,AGENT,BASCH,11:19:59,11:40:31,00:20:32
2017-01-09,CR2281138,C00001199,644-160-4985,AA0215,34652,0,NW,AGENT,MIKI,15:37:19,15:51:58,00:14:39
2017-01-06,CR2275944,C00003782,212-522-4265,AA0106,34653,0,PS,AGENT,BENSION,09:21:43,09:38:30,00:16:47
2017-01-06,CR2279164,C00003909,459-262-9261,AA0115,34654,0,PS,AGENT,GILI,10:38:36,10:42:02,00:03:26
2017-01-06,CR2279262,C00004514,617-286-0356,AA0108,34655,0,TT,AGENT,STEREN,16:08:32,16:18:02,00:09:30
2017-01-03,CR2273074,C00001529,184-946-5589,AA0204,34656,0,PS,AGENT,AVNI,13:12:58,13:13:46,00:00:48
2017-01-03,CR2272555,C00004275,411-416-0778,AA0209,34657,0,PS,AGENT,SHARON,14:40:57,14:49:22,00:08:25
2017-01-03,CR2272801,C00002430,996-964-9510,AA0215,34658,0,NW,AGENT,STEREN,16:54:36,17:08:11,00:13:35
2016-12-28,CR2267388,C00001121,617-927-2995,AA0110,34659,0,PS,AGENT,YIFAT,11:34:46,11:42:41,00:07:55
2016-12-27,CR2264142,C00001434,946-732-1068,AA0101,34662,0,PS,AGENT,YIFAT,13:16:58,13:27:12,00:10:14
2016-12-27,CR2264909,C00005325,755-055-9989,AA0110,34663,2,NE,AGENT,IDIT,16:41:25,16:52:04,00:10:39
2016-12-23,CR2262905,C00001932,786-139-8177,AA0104,34664,0,PS,AGENT,AVNI,10:21:20,10:25:57,00:04:37
2016-12-22,CR2261790,C00002559,692-076-6357,AA0113,34666,0,PS,AGENT,ANAT,13:50:18,13:57:30,00:07:12
2016-12-22,CR2261590,C00003020,273-113-9563,AA0110,34667,0,PS,AGENT,TOVA,16:06:04,16:25:11,00:19:07
2016-12-21,CR2259304,C00003699,212-927-7940,AA0102,34668,0,NW,AGENT,STEREN,13:42:47,13:58:52,00:16:05
2016-12-20,CR2258167,C00001345,217-593-9351,AA0213,34669,0,PS,AGENT,GILI,10:45:47,10:48:13,00:02:26
2016-12-20,CR2257145,C00004390,474-415-6034,AA0204,34670,0,NE,AGENT,ELI,10:09:26,10:29:48,00:20:22
2016-12-20,CR2257781,C00001899,617-395-4007,AA0209,34671,0,NE,AGENT,SHARON,14:07:49,14:26:20,00:18:31
2016-12-19,CR2255768,C00001033,212-310-1819,AA0202,34672,0,PS,AGENT,SHARON,15:00:43,15:10:03,00:09:20
2016-12-19,CR2254796,C00000893,596-089-6158,AA0109,34673,2,PS,AGENT,YIFAT,14:11:45,14:25:32,00:13:47
2016-12-19,CR2256790,C00013262,585-467-6271,AA0110,34674,0,NE,AGENT,TOVA,10:42:23,11:00:43,00:18:20
2016-12-14,CR2250030,C00003698,833-893-0290,AA0214,34676,1,PS,AGENT,TOVA,09:16:17,09:33:10,00:16:53
2016-12-13,CR2248095,C00001479,212-915-4941,AA0104,34677,0,PS,AGENT,YIFAT,12:15:48,12:23:37,00:07:49
2016-12-13,CR2247509,C00003042,265-204-7503,AA0202,34678,2,PS,AGENT,AVNI,16:26:56,16:29:51,00:02:55
2016-12-13,CR2247534,C00001978,240-798-7810,AA0105,34679,0,NE,AGENT,ELI,11:25:22,11:38:25,00:13:03
2016-12-12,CR2245250,C00005164,617-850-7472,AA0103,34681,0,PS,AGENT,BASCH,15:42:10,15:42:48,00:00:38
2016-12-09,CR2243250,C00003816,212-366-2572,AA0205,34682,0,PS,AGENT,SHLOMO,10:07:11,10:08:10,00:00:59
2016-12-08,CR2241678,C00001747,408-629-2951,AA0203,34683,0,PS,AGENT,IDIT,16:42:52,16:57:41,00:14:49
2016-12-08,CR2242281,C00000348,801-528-5337,AA0209,34684,1,PS,AGENT,SHARON,16:55:22,17:14:39,00:19:17
2016-12-07,CR2239689,C00004476,770-608-8468,AA0209,34685,1,PS,AGENT,BENSION,12:50:20,13:11:13,00:20:53
2016-12-05,CR2236100,C00000699,647-201-6786,AA0102,34688,2,PS,AGENT,IDIT,10:03:04,10:04:23,00:01:19
2016-12-05,CR2235210,C00005012,893-899-0740,AA0110,34689,0,PS,AGENT,DORIT,09:59:29,10:08:28,00:08:59
2016-12-02,CR2232723,C00002818,609-647-3562,AA0102,34690,0,NW,AGENT,DORIT,12:42:14,12:57:16,00:15:02
2016-12-02,CR2233894,C00004482,617-679-6635,AA0203,34692,2,PS,AGENT,MORIAH,12:46:17,13:03:57,00:17:40
2016-11-30,CR2230432,C00002116,914-235-2659,AA0209,34693,1,PS,AGENT,YITZ,14:24:28,14:37:34,00:13:06
2016-11-30,CR2230013,C00000653,212-317-8765,AA0105,34694,0,PS,AGENT,MIKI,16:24:51,16:32:48,00:07:57
2016-11-28,CR2226376,C00004808,161-615-6933,AA0102,34695,0,PS,AGENT,YIFAT,15:55:03,16:03:04,00:08:01
2016-11-25,CR2223343,C00003305,532-240-5250,AA0206,34696,2,PS,AGENT,ANAT,11:02:04,11:09:24,00:07:20
2016-11-25,CR2223164,C00003304,176-588-9105,AA0112,34697,0,TT,AGENT,BASCH,13:17:02,13:32:26,00:15:24
2016-11-24,CR2221149,C00013451,404-775-9228,AA0209,34698,0,NW,AGENT,AVNI,13:02:57,13:19:13,00:16:16
2016-11-23,CR2222146,C00000700,857-578-4130,AA0102,34699,0,PS,AGENT,YIFAT,14:03:22,14:22:24,00:19:02
2016-11-23,CR2222452,C00002718,374-184-1812,AA0109,34701,0,NW,AGENT,MICHAL,13:01:47,13:21:14,00:19:27
2016-11-22,CR2219054,C00000471,248-779-0717,AA0112,34702,0,TT,AGENT,ANAT,10:29:45,10:39:13,00:09:28
2016-11-22,CR2220199,C00003738,175-800-6801,AA0115,34703,0,PS,AGENT,BENSION,15:37:41,15:46:39,00:08:58
2016-11-21,CR2218062,C00003042,265-204-7503,AA0213,34704,1,PS,AGENT,ZOHARI,10:16:53,10:17:19,00:00:26
2016-11-19,CR2214703,C00002605,947-239-9770,AA0215,34705,0,PS,AGENT,YIFAT,12:06:42,12:13:07,00:06:25
2016-11-17,CR2214007,C00003578,734-149-5933,AA0214,34707,0,PS,AGENT,AVIDAN,15:12:49,15:23:05,00:10:16
2016-11-17,CR2213224,C00012303,362-949-2478,AA0202,34708,2,PS,AGENT,YIFAT,14:21:14,14:40:23,00:19:09
2016-11-16,CR2211664,C00004186,981-817-8340,AA0203,34709,1,PS,AGENT,AVIDAN,14:36:35,14:52:37,00:16:02
2016-11-16,CR2212183,C00001899,606-221-8334,AA0204,34710,0,NW,AGENT,MICHAL,15:40:44,15:52:15,00:11:31
2016-11-16,CR2210790,C00005138,746-353-2657,AA0106,34711,1,PS,AGENT,YIFAT,09:41:17,09:45:04,00:03:47
2016-11-15,CR2210253,C00002577,377-861-5411,AA0104,34715,0,PS,AGENT,TOVA,16:25:39,16:29:48,00:04:09
2016-11-14,CR2207961,C00004473,547-382-6887,AA0104,34716,0,PS,AGENT,AVNI,16:23:33,16:32:44,00:09:11
2016-11-14,CR2206354,C00003591,837-195-8937,AA0209,34717,2,PS,AGENT,SHARON,09:34:12,09:39:08,00:04:56
2016-11-14,CR2207418,C00004131,508-135-8779,AA0105,34718,0,NW,AGENT,YITZ,14:43:16,14:45:27,00:02:11
2016-11-10,CR2203108,C00000122,886-432-0564,AA0101,34720,0,PS,AGENT,BENSION,15:05:12,15:08:44,00:03:32
2016-11-10,CR2204099,C00000258,679-001-2022,AA0203,34721,0,NE,AGENT,BASCH,15:41:02,15:59:15,00:18:13
2016-11-09,CR2201357,C00003470,114-406-9537,AA0204,34722,0,PS,AGENT,BENSION,12:43:41,12:55:20,00:11:39
2016-11-07,CR2198057,C00003251,143-003-4091,AA0109,34723,2,NE,AGENT,AVIDAN,09:55:14,10:03:49,00:08:35
2016-11-07,CR2197959,C00000260,637-172-2074,AA0102,34724,0,NE,AGENT,ELI,14:30:21,14:40:32,00:10:11
2016-11-03,CR2193850,C00002233,675-119-4754,AA0210,34725,2,NE,AGENT,ZOHARI,09:09:44,09:13:12,00:03:28
2016-11-03,CR2193660,C00003438,802-842-2969,AA0203,34726,1,PS,AGENT,YITZ,09:47:05,09:56:26,00:09:21
2016-11-02,CR2191914,C00007797,716-578-4924,AA0101,34727,0,NW,AGENT,NO_SERVER,09:59:49,10:16:33,00:16:44
2016-11-02,CR2190967,C00001335,212-050-1469,AA0115,34728,0,NW,AGENT,MIKI,15:02:13,15:03:36,00:01:23
2016-11-02,CR2192338,C00001471,212-047-9701,AA0112,34729,1,TT,AGENT,NO_SERVER,15:36:52,15:46:26,00:09:34
2016-11-02,CR2191029,C00000820,797-077-2686,AA0206,34730,0,NW,AGENT,MICHAL,10:44:06,10:59:35,00:15:29
2016-11-01,CR2188678,C00003456,709-146-4033,AA0206,34732,2,PS,AGENT,SHARON,10:26:05,10:33:20,00:07:15
2016-10-28,CR2185200,C00004348,285-954-1811,AA0214,34735,2,PS,AGENT,BASCH,11:08:46,11:09:15,00:00:29
2016-10-26,CR2180000,C00001817,282-524-0037,AA0102,34736,0,PS,AGENT,SHARON,14:06:23,14:19:22,00:12:59
2016-10-26,CR2180332,C00002910,914-445-0614,AA0205,34737,0,NW,AGENT,TOVA,16:43:40,16:45:40,00:02:00
2016-10-25,CR2178177,C00004331,309-705-8191,AA0203,34738,1,PS,AGENT,AVIDAN,13:00:59,13:21:27,00:20:28
2016-10-25,CR2178679,C00010076,460-699-6534,AA0109,34739,1,PS,AGENT,IDIT,09:04:58,09:06:28,00:01:30
2016-10-24,CR2174890,C00004725,482-772-4418,AA0214,34740,2,PS,AGENT,MIKI,10:56:57,11:12:25,00:15:28
2016-10-21,CR2170541,C00003662,281-629-5554,AA0201,34742,2,PS,AGENT,MORIAH,12:57:16,13:13:42,00:16:26
2016-10-21,CR2171050,C00002555,199-851-3200,AA0105,34743,0,PS,AGENT,ZOHARI,15:50:19,15:58:12,00:07:53
2016-10-21,CR2173390,C00002212,513-799-2738,AA0209,34745,0,PS,AGENT,MIKI,10:26:06,10:45:38,00:19:32
2016-10-20,CR2169725,C00002752,508-743-2107,AA0201,34746,2,PS,AGENT,MICHAL,16:29:36,16:47:28,00:17:52
2016-10-19,CR2168738,C00004673,978-603-5427,AA0213,34747,0,PS,AGENT,DORIT,12:47:42,12:50:52,00:03:10
2016-10-18,CR2165723,C00000694,343-180-6235,AA0101,34748,0,NW,AGENT,BASCH,11:57:37,12:02:57,00:05:20
2016-10-18,CR2166137,C00007011,991-353-6868,AA0115,34749,1,PS,AGENT,ZOHARI,11:05:37,11:20:32,00:14:55
2016-10-17,CR2163506,C00000285,762-058-5335,AA0214,34750,2,PS,AGENT,IDIT,12:21:22,12:37:22,00:16:00
2016-10-17,CR2165000,C00013190,617-175-3681,AA0213,34751,2,PS,AGENT,AVIDAN,09:57:14,10:09:26,00:12:12
2016-10-17,CR2165064,C00000083,212-031-4727,AA0105,34752,2,PS,AGENT,DORIT,09:20:36,09:33:16,00:12:40
2016-10-14,CR2161157,C00004105,523-666-3502,AA0103,34753,2,PS,AGENT,STEREN,16:48:15,17:03:15,00:15:00
2016-10-13,CR2159872,C00001743,336-306-0723,AA0110,34754,0,PS,AGENT,YIFAT,14:37:09,14:42:12,00:05:03
2016-10-11,CR2155555,C00002645,331-868-8475,AA0109,34757,0,NW,AGENT,MIKI,14:27:38,14:44:15,00:16:37
2016-10-06,CR2150432,C00003201,214-736-2773,AA0209,34759,2,NE,AGENT,TOVA,15:36:35,15:37:35,00:01:00
2016-10-06,CR2149617,C00002167,212-260-8145,AA0115,34760,0,NW,AGENT,BASCH,09:04:15,09:24:11,00:19:56
2016-10-05,CR2148694,C00001682,978-204-4837,AA0215,34761,0,NE,AGENT,ANAT,11:46:27,11:53:15,00:06:48
2016-10-04,CR2144993,C00004288,199-730-9100,AA0101,34762,1,PS,AGENT,GILI,11:37:23,11:50:30,00:13:07
2016-10-04,CR2145445,C00000417,212-127-8460,AA0112,34763,1,TT,AGENT,MIKI,10:47:19,10:56:47,00:09:28
2016-10-04,CR2146294,C00002593,212-810-5117,AA0107,34764,0,TT,AGENT,ANAT,14:53:45,15:09:32,00:15:47
2016-10-03,CR2143247,C00002426,238-681-7126,AA0201,34765,0,PS,AGENT,GILI,11:35:41,11:42:41,00:07:00
2016-10-03,CR2143958,C00001683,506-209-1631,AA0115,34766,2,PS,AGENT,KAZAV,13:25:17,13:38:00,00:12:43
2016-09-29,CR2139139,C00004508,768-344-4042,AA0209,34768,0,PS,AGENT,KAZAV,11:39:40,11:55:58,00:16:18
2016-09-28,CR2135857,C00006886,401-509-2345,AA0209,34769,2,PS,AGENT,KAZAV,13:05:07,13:15:03,00:09:56
2016-09-27,CR2132926,C00002968,808-268-7264,AA0101,34770,0,PS,AGENT,GILI,10:17:18,10:21:44,00:04:26
2016-09-23,CR2128341,C00005402,236-437-1490,AA0101,34771,2,PS,AGENT,YIFAT,15:05:55,15:09:31,00:03:36
2016-09-23,CR2128660,C00004199,611-090-7828,AA0104,34772,2,PS,AGENT,YITZ,09:45:39,09:46:51,00:01:12
2016-09-23,CR2128020,C00004628,212-096-9270,AA0109,34775,0,PS,AGENT,DORIT,16:39:50,16:56:37,00:16:47
2016-09-23,CR2129490,C00010389,727-324-6761,AA0210,34776,2,PS,AGENT,MICHAL,11:27:43,11:45:23,00:17:40
2016-09-21,CR2123242,C00004554,268-769-0486,AA0201,34780,2,PS,AGENT,DORIT,10:49:11,11:04:49,00:15:38
2016-09-20,CR2120933,C00002780,982-119-1893,AA0109,34781,0,PS,AGENT,TOVA,15:21:36,15:25:33,00:03:57
2016-09-20,CR2121068,C00001927,315-195-4833,AA0115,34782,0,PS,AGENT,IDIT,12:18:32,12:23:10,00:04:38
2016-09-19,CR2119586,C00004582,882-794-8678,AA0215,34784,0,NW,AGENT,MORIAH,13:54:50,14:07:10,00:12:20
2016-09-19,CR2119043,C00004387,392-537-8507,AA0105,34785,2,PS,AGENT,ANAT,12:41:20,12:47:25,00:06:05
2016-09-16,CR2116017,C00003800,171-180-8290,AA0109,34786,0,NW,AGENT,AVIDAN,12:00:51,12:09:24,00:08:33
2016-09-16,CR2116445,C00011409,803-600-1604,AA0201,34787,2,PS,AGENT,YITZ,11:59:33,12:05:47,00:06:14
2016-09-16,CR2115603,C00000945,192-086-9822,AA0204,34788,0,NW,AGENT,MIKI,10:36:42,10:49:04,00:12:22
2016-09-15,CR2114332,C00002674,313-973-2876,AA0203,34789,0,PS,AGENT,IDIT,12:32:08,12:43:59,00:11:51
2016-09-14,CR2112683,C00003471,212-266-7906,AA0210,34790,2,PS,AGENT,IDIT,13:59:20,13:59:44,00:00:24
2016-09-14,CR2112898,C00001564,661-447-4205,AA0215,34791,0,PS,AGENT,AVIDAN,16:42:48,16:49:41,00:06:53
2016-09-13,CR2108413,C00001349,681-243-3561,AA0214,34792,0,PS,AGENT,DORIT,09:49:21,10:05:33,00:16:12
2016-09-12,CR2106689,C00001286,567-845-8514,AA0209,34793,2,PS,AGENT,TOVA,10:13:34,10:23:39,00:10:05
2016-09-09,CR2103814,C00001186,203-536-8848,AA0214,34794,2,PS,AGENT,YIFAT,16:48:16,16:49:41,00:01:25
2016-09-08,CR2101414,C00000051,193-754-1578,AA0101,34795,0,NW,AGENT,SHARON,15:12:09,15:20:49,00:08:40
2016-09-07,CR2098991,C00005801,125-631-4840,AA0104,34797,2,PS,AGENT,GELBER,10:26:19,10:41:18,00:14:59
2016-09-06,CR2096360,C00002329,444-910-8715,AA0214,34799,0,PS,AGENT,NAAMA,15:39:49,15:59:52,00:20:03
2016-09-06,CR2097924,C00003620,658-087-8204,AA0210,34800,2,PS,AGENT,BENSION,12:31:47,12:32:59,00:01:12
2016-09-06,CR2096586,C00000086,212-302-5046,AA0214,34801,0,PS,AGENT,TOVA,14:22:05,14:31:18,00:09:13
